LSOA11CD,Total
E01013117,"1,470"
E01013118,"1,455"
E01013119,"1,453"
E01013120,"2,028"
E01013121,"2,271"
E01013122,"1,490"
E01013123,"2,104"
E01013124,"2,258"
E01013125,"1,661"
E01013126,"2,384"
E01013127,"1,598"
E01032596,"1,408"
E01033495,"1,501"
E01033496,"1,585"
E01034752,"1,480"
E01034753,"1,181"
E01034754,"1,213"
E01034755,"1,626"
E01034756,"2,487"
E01034757,"1,177"
E01034758,"1,648"
E01034759,"1,525"
E01034760,"1,449"
E01013128,"1,301"
E01013129,"1,334"
E01013130,"1,398"
E01013131,"1,485"
E01013132,"1,452"
E01013133,"1,466"
E01013134,"1,411"
E01013135,"1,464"
E01013136,"1,235"
E01013138,"1,291"
E01013140,"1,444"
E01013141,"1,539"
E01013142,"1,647"
E01013143,"1,365"
E01013144,"1,450"
E01013145,"1,194"
E01013146,"1,671"
E01013147,"1,359"
E01013148,"1,329"
E01013149,"1,096"
E01013150,"1,220"
E01013151,"1,162"
E01013152,"1,485"
E01013153,"1,266"
E01013154,"1,299"
E01013155,"1,294"
E01013156,"1,299"
E01013157,"1,713"
E01013158,"1,325"
E01013159,"1,530"
E01013160,"1,344"
E01013161,"1,294"
E01013162,"1,505"
E01013163,"1,255"
E01013164,"1,892"
E01013165,"1,286"
E01013167,"1,754"
E01013170,"1,455"
E01013171,"1,823"
E01013172,"1,476"
E01013173,"1,339"
E01013174,"1,503"
E01013175,"1,783"
E01013176,"1,372"
E01013177,"1,398"
E01013178,"1,358"
E01013179,"1,576"
E01013180,"1,390"
E01013181,"1,467"
E01013182,"1,426"
E01013183,"1,498"
E01013184,"1,491"
E01013185,"1,482"
E01013186,"1,547"
E01013187,"1,330"
E01013188,"1,568"
E01013189,"1,615"
E01013191,"1,484"
E01013192,"1,453"
E01013193,"1,498"
E01013194,"1,393"
E01013195,"1,348"
E01013196,"1,244"
E01013197,"1,218"
E01013198,"1,369"
